Decision Log;;;;;;;;
Decisions and deferments taken during M1, the alternatives weighed, and what each one commits or blocks downstream;;;;;;;;
;;;;;;;;
ID;Date;Decision or deferment;Alternatives considered;Rationale;Consequences / downstream impact;Evidence still required (if deferred);Owner;Status
DEC-001;2026/09/06;Scope CivicConnect to a campus / educational institution context;"Municipality or local government; community NGO; residential estate";The Master Brief does not name the client organisation. The request types listed in s.2 (facility faults, IT support, lost property, security concerns) correspond to an institutional campus. A recorded assumption is preferable to proceeding with an ambiguous stakeholder set.;Determines the entire stakeholder register and the applicability of POPIA (CON-007). If the assumption is wrong, STK-001 to STK-009 and every derived requirement must be revisited.;—;A;DECIDED
DEC-002;2026/09/06;Defer selection of the technology stack;"Commit now to a familiar stack; commit now to a stack chosen for requirement fit";M1 is explicitly not a technology-selection milestone. The requirements baseline is not yet complete, so no evidence currently distinguishes the alternatives.;Preserves M2 options. Creates a dependency: the M2 decision must satisfy CON-004 (team capability) and CON-008 (institutional environment availability) as well as requirement fit.;"Completed FR/NFR baseline; verification that candidate stacks are available on the BC Desktop platform";A;DEFERRED
DEC-003;2026/09/06;Defer selection of the hosting and deployment platform;"Commit to a free-tier platform now; commit to a paid platform now";The cost constraint (CON-003) favours a free tier, but free tiers commonly omit audit log retention, backups and private networking, which CON-006 and CON-007 require. The decision cannot be made on price alone and no platform research evidence exists yet.;Blocks SCP-014 and SCP-015, both of which depend on platform capability and cost. Must be resolved before the M2 architecture is finalised.;Documented free-tier limits for candidate platforms, covering audit log retention, backup and likely operational cost beyond the educational context;A;DEFERRED
DEC-004;2026/09/06;Treat role-based access control as an architecturally significant requirement;"Handle authorisation as an application-level concern during construction; use a single shared staff view";The CFL-002 resolution restricts security-request visibility by role. Authorisation applied late cannot be retrofitted cleanly across every view and transition, and CON-006 requires it to be addressed from requirements onward.;Constrains the M2 architecture and data model. Adds verification obligations in M3 under CON-005.;—;A;DECIDED
DEC-005;2026/09/06;Defer the personal-information retention period;"Retain indefinitely; adopt an arbitrary fixed period";CFL-004 is unresolved. The lawful period depends on guidance from STK-009 that the team does not yet have, and an arbitrary figure would be an unverified claim under CON-007.;SCP-020 (automated retention enforcement) is deferred as a consequence. Affects the M2 data model, since aggregated statistics must survive deletion of identifiable data.;Retention guidance from the information officer, or a documented institutional retention standard;A;DEFERRED
DEC-006;2026/09/06;Limit mandatory capture fields at submission to category, location and description;"Capture full structured detail at submission; make all detail optional";"Resolution of CFL-001. Minimal mandatory capture protects submission speed for STK-001; category remains mandatory because the SCP-011 reporting depends on it.";Reporting richness for STK-005 depends on post-submission detail being supplied. If uptake is poor, this decision may need revisiting through change control.;—;A;DECIDED
DEC-007;2026/09/06;Exclude a native mobile application from the committed scope;"Native mobile in addition to web; native mobile instead of web";A responsive web interface meets the access need within CON-002 and CON-004. A second build and release path is not supportable by three part-time students within the delivery period.;Places a usability obligation on the web interface for mobile viewports, which becomes a quality attribute for Member B to specify measurably under CON-005.;—;A;DECIDED
;;;;;;;;
Decision status;;;;;;;;
Decided;;4;;;;;;
Deferred — evidence outstanding;;3;;;;;;
Total logged;;7;;;;;;
