Constraints;;;;;;
Fixed conditions on the project, what each one means for engineering, and where they pull against one another;;;;;;
;;;;;;
ID;Category;Constraint;Source;Engineering implication;Interacts with;Trade-off summary
CON-001;Scope;"The delivered system must support the minimum requester, staff and management capabilities; committed scope is baselined and changed only through controlled change";Master Brief s.3, s.4;Sets a floor that cannot be traded away under schedule pressure. Any additional feature must be justified against value and its effect on the other constraints, so the scope baseline becomes the reference for every later change request.;CON-002;Fixed capability floor plus fixed schedule means quality or additional scope absorbs any pressure, not the minimum capabilities
CON-002;Schedule;The project must progress through four formal milestones within the SEN381 delivery period, with M1 baselined before architecture decisions are made;Master Brief s.4, s.20;Rules out exploratory or open-ended technology evaluation in M2. Favours technologies the team can already use productively, and forces requirements to be stable enough at M1 to support architecture decisions that follow immediately.;CON-004;See CON-004: an unfamiliar stack costs learning time the schedule does not contain
CON-003;Cost & resources;"Free or low-cost services preferred where practical; free-tier limits and likely operational cost beyond the educational context must be identified";Master Brief s.4, s.18;Free tiers commonly restrict backups, private networking, audit log retention and uptime guarantees. The hosting decision therefore cannot be made on price alone and must be evaluated against the security and quality constraints before it is committed.;CON-006, CON-007;"A free tier that lacks audit log retention conflicts directly with the accountability need behind CON-007; either the cost assumption or the retention approach must give"
CON-004;Cost & resources;Exactly three students, working part-time alongside other modules, with technology limited to what the team can realistically learn and support;Master Brief s.4, s.7.1, s.18.1;Team capability is an engineering input, not a preference. Selecting an unfamiliar framework spends schedule on learning rather than on verification, and concentrates risk if only one member understands a component.;CON-002;"Familiar stack lowers schedule risk but may fit the requirements less well; the trade-off must be recorded in the M2 ADR rather than assumed"
CON-005;Quality;"Quality attributes must be defined measurably in M1 and later supported by test and measurement evidence; unsupported quality claims are not accepted";Master Brief s.4, s.15;Every NFR written now creates a later obligation to produce evidence. Vague quality language cannot be verified, so NFRs must carry numbers and conditions from the outset or they will be unusable in M3.;CON-002;"Each measurable NFR adds verification work in M3; the number of NFRs is itself a schedule decision"
CON-006;Security;"Security is a lifecycle-wide responsibility; secrets must not be committed; trust boundaries, authentication, authorisation and least privilege must be addressed from requirements onward";Master Brief s.4, s.16;Rules out deferring authorisation to late construction. The restricted visibility agreed in CFL-002 requires role-based access control, which is an architecture-level concern and must be treated as an architecturally significant requirement in M2.;CON-003;Some security controls (private networking, log retention, managed identity) are paid features on platforms that are otherwise free
CON-007;Security;The system handles personal information of students and staff and must comply with applicable data protection obligations under POPIA;"Campus context; STK-009";Constrains what may be captured, who may view it, how long it is retained and whether access is auditable. Data minimisation directly limits the reporting richness sought in CFL-001 and CFL-004.;CON-003, CON-001;"Retention and audit requirements may exceed what a free-tier platform provides; see CON-003"
CON-008;Cost & resources;Belgium Campus does not guarantee that a chosen language, framework, service or deployment platform is available or supported on the BC Desktop platform or institutional environment;Master Brief s.25;Compatibility must be verified before the technology is committed, not after. Creates a real risk that a technically sound choice is undeliverable in the available environment, so the M2 decision needs evidence of availability, not only suitability.;CON-002, CON-004;"Verification costs schedule time in M2; skipping it risks rework that costs far more"
;;;;;;
Constraints by category;;;;;;
Scope;;1;;;;
Schedule;;1;;;;
Cost & resources;;3;;;;
Quality;;1;;;;
Security;;2;;;;
Total;;8;;;;
